Hours Studied,Previous Scores,Sleep Hours,Sample Question Papers Practiced,Performance
7,99,9,1,91.0
4,82,4,2,65.0
8,51,7,2,45.0
5,52,5,2,36.0
7,75,8,5,66.0
3,78,9,6,61.0
7,73,5,6,63.0
8,45,4,6,42.0
5,77,8,2,61.0
4,89,4,0,69.0
8,91,4,5,84.0
8,79,6,2,73.0
3,47,9,2,27.0
6,47,4,2,33.0
5,79,7,8,68.0
2,72,4,3,43.0
8,73,8,4,67.0
6,83,7,2,70.0
2,54,4,9,30.0
5,75,7,0,63.0
1,99,4,3,71.0
6,96,9,0,85.0
9,74,7,6,73.0
1,85,5,6,57.0
3,61,6,3,35.0
7,62,7,4,49.0
4,79,8,9,66.0
9,84,6,6,83.0
3,94,6,5,74.0
5,90,4,3,74.0
3,61,7,3,39.0
7,44,9,1,36.0
5,70,6,9,58.0
9,52,8,1,47.0
7,67,9,3,60.0
2,97,9,4,74.0
4,59,8,3,42.0
9,72,8,2,68.0
2,55,4,1,32.0
9,68,5,3,64.0
5,62,7,4,45.0
2,63,6,0,39.0
4,73,7,0,58.0
7,46,9,5,36.0
8,77,6,4,71.0
3,76,4,3,54.0
1,43,7,0,17.0
4,73,4,6,54.0
2,81,4,3,58.0
8,61,7,2,53.0